protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,b9f99d99b517e0a9,4,2.538900614,0.006699048,-0.000990184,0.001649586,-0.000238003,0.575395107,0.575395107,0.000000295,0.000000145,0.588134766,0.539306641,0.057617188,0.466580182
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c7b117d736da5cbc,4,2.504373074,0.006527711,-0.001023619,0.001626391,-0.000256916,0.625094175,0.625094175,0.000000261,0.000000131,0.575927734,0.534912109,0.055908203,0.503487587
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,6668916cb7acd8d3,4,2.440574169,0.006249102,-0.000928496,0.001632819,-0.000247562,0.562138200,0.562138200,0.000000319,0.000000139,0.604248047,0.505615234,0.060791016,0.488090783
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,84206aaa377754e6,4,2.477950096,0.006410912,-0.000940757,0.001653349,-0.000236161,0.582735300,0.582735300,0.000000298,0.000000138,0.604736328,0.508056641,0.059326172,0.484252959
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,22dbe4e3b839d0fd,4,2.465196848,0.006343118,-0.000959064,0.001580632,-0.000251927,0.592335403,0.592335343,0.000000288,0.000000135,0.585205078,0.523193359,0.058837891,0.495494485
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,40937e39398c4d10,4,2.505765915,0.006546285,-0.000945251,0.001602320,-0.000216844,0.572962999,0.572963059,0.000000299,0.000000141,0.587890625,0.533203125,0.058105469,0.488129735
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ef4af876b956c927,4,2.387601137,0.005961639,-0.000982480,0.001501743,-0.000246531,0.597284019,0.597284019,0.000000295,0.000000125,0.587158203,0.510986328,0.059082031,0.516312957
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,0d02718c3a19453a,4,2.482795477,0.006439371,-0.001016976,0.001595430,-0.000238885,0.565610468,0.565610528,0.000000311,0.000000142,0.580566406,0.528320312,0.059082031,0.483618408
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,ab35cbc5bbe3c151,4,2.466557741,0.006335903,-0.001041421,0.001632485,-0.000266538,0.562854826,0.562854826,0.000000312,0.000000139,0.589111328,0.525634766,0.058593750,0.496084750
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c9ed45033cb63d64,4,2.456358671,0.006302925,-0.001082167,0.001523166,-0.000274426,0.589253783,0.589253724,0.000000285,0.000000133,0.588623047,0.523193359,0.058837891,0.502348483
