seed,depth,temperature,gradient_norm,soft_direct_loss_drop,soft_rotated_loss_drop,tempered_direct_loss_drop,tempered_rotated_loss_drop
4653197178990775568,2,0.5000,1.680468,0.002964,-0.000536,0.000580,-0.000069
4653197178990775568,2,0.2500,1.680468,0.002964,-0.000536,0.000288,-0.000012
4653197178990775568,2,0.1000,1.680468,0.002964,-0.000536,0.000001,-0.000000
4653197178990775568,2,hard,1.680468,0.002964,-0.000536,0.000000,0.000000
17242871620025108775,2,soft,1.593603,0.002692,-0.000542,0.002692,-0.000542
17242871620025108775,2,2.0000,1.593603,0.002692,-0.000542,0.000069,-0.000019
17242871620025108775,2,1.0000,1.593603,0.002692,-0.000542,0.000201,-0.000048
17242871620025108775,2,0.5000,1.593603,0.002692,-0.000542,0.000536,-0.000078
17242871620025108775,2,0.2500,1.593603,0.002692,-0.000542,0.000260,-0.000015
17242871620025108775,2,0.1000,1.593603,0.002692,-0.000542,0.000001,-0.000000
17242871620025108775,2,hard,1.593603,0.002692,-0.000542,0.000000,0.000000
937440981967258938,2,soft,1.606791,0.002731,-0.000541,0.002731,-0.000541
937440981967258938,2,2.0000,1.606791,0.002731,-0.000541,0.000070,-0.000020
937440981967258938,2,1.0000,1.606791,0.002731,-0.000541,0.000203,-0.000048
937440981967258938,2,0.5000,1.606791,0.002731,-0.000541,0.000539,-0.000064
937440981967258938,2,0.2500,1.606791,0.002731,-0.000541,0.000264,-0.000005
937440981967258938,2,0.1000,1.606791,0.002731,-0.000541,0.000001,-0.000000
937440981967258938,2,hard,1.606791,0.002731,-0.000541,0.000000,0.000000
12336995258221445457,2,soft,1.553877,0.002581,-0.000439,0.002581,-0.000439
12336995258221445457,2,2.0000,1.553877,0.002581,-0.000439,0.000067,-0.000016
12336995258221445457,2,1.0000,1.553877,0.002581,-0.000439,0.000195,-0.000041
12336995258221445457,2,0.5000,1.553877,0.002581,-0.000439,0.000523,-0.000070
12336995258221445457,2,0.2500,1.553877,0.002581,-0.000439,0.000254,-0.000018
12336995258221445457,2,0.1000,1.553877,0.002581,-0.000439,0.000001,-0.000000
12336995258221445457,2,hard,1.553877,0.002581,-0.000439,0.000000,0.000000
14550357526309911908,2,soft,1.634771,0.002810,-0.000553,0.002810,-0.000553
14550357526309911908,2,2.0000,1.634771,0.002810,-0.000553,0.000071,-0.000020
14550357526309911908,2,1.0000,1.634771,0.002810,-0.000553,0.000206,-0.000048
14550357526309911908,2,0.5000,1.634771,0.002810,-0.000553,0.000542,-0.000068
14550357526309911908,2,0.2500,1.634771,0.002810,-0.000553,0.000262,-0.000008
14550357526309911908,2,0.1000,1.634771,0.002810,-0.000553,0.000001,-0.000000
14550357526309911908,2,hard,1.634771,0.002810,-0.000553,0.000000,0.000000
6315413713023973755,2,soft,1.607623,0.002757,-0.000513,0.002757,-0.000513
6315413713023973755,2,2.0000,1.607623,0.002757,-0.000513,0.000071,-0.000018
6315413713023973755,2,1.0000,1.607623,0.002757,-0.000513,0.000206,-0.000045
6315413713023973755,2,0.5000,1.607623,0.002757,-0.000513,0.000549,-0.000088
6315413713023973755,2,0.2500,1.607623,0.002757,-0.000513,0.000264,-0.000029
6315413713023973755,2,0.1000,1.607623,0.002757,-0.000513,0.000001,-0.000000
6315413713023973755,2,hard,1.607623,0.002757,-0.000513,0.000000,0.000000
17752165541379257742,2,soft,1.577546,0.002649,-0.000463,0.002649,-0.000463
17752165541379257742,2,2.0000,1.577546,0.002649,-0.000463,0.000069,-0.000017
17752165541379257742,2,1.0000,1.577546,0.002649,-0.000463,0.000200,-0.000042
17752165541379257742,2,0.5000,1.577546,0.002649,-0.000463,0.000532,-0.000064
17752165541379257742,2,0.2500,1.577546,0.002649,-0.000463,0.000262,-0.000010
17752165541379257742,2,0.1000,1.577546,0.002649,-0.000463,0.000001,-0.000000
17752165541379257742,2,hard,1.577546,0.002649,-0.000463,0.000000,0.000000
1447861344392032677,2,soft,1.592385,0.002705,-0.000527,0.002705,-0.000527
1447861344392032677,2,2.0000,1.592385,0.002705,-0.000527,0.000070,-0.000019
1447861344392032677,2,1.0000,1.592385,0.002705,-0.000527,0.000204,-0.000047
1447861344392032677,2,0.5000,1.592385,0.002705,-0.000527,0.000544,-0.000091
1447861344392032677,2,0.2500,1.592385,0.002705,-0.000527,0.000265,-0.000030
1447861344392032677,2,0.1000,1.592385,0.002705,-0.000527,0.000001,-0.000000
1447861344392032677,2,hard,1.592385,0.002705,-0.000527,0.000000,0.000000
15453308257587330068,3,soft,2.082650,0.004757,-0.001334,0.004757,-0.001334
15453308257587330068,3,2.0000,2.082650,0.004757,-0.001334,0.000059,-0.000021
15453308257587330068,3,1.0000,2.082650,0.004757,-0.001334,0.000181,-0.000060
15453308257587330068,3,0.5000,2.082650,0.004757,-0.001334,0.000799,-0.000205
15453308257587330068,3,0.2500,2.082650,0.004757,-0.001334,0.000403,-0.000081
